legacy_id,objectid,collectionid,display_template,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_transcript,title,ark,call_number,archival_collection,finding_aid_ark,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,description,personal_name_subject,corporate_name_subject,subject,subject_uri,location,location_uri,latitude,longitude,genre,genre_uri,type,format,rights,rightsstatement,date,date_range,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Pascal_0,pascal0,pascal,image,91_Pascal_2-7.tif,91_pascal_2-7.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_2-7.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_2-7_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_2-7_th.jpg,,Field with hay stacks,https://n2t.net/ark:/87292/w92z6v,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,This image depicts a field with several hay stacks. Two men are shown; one is at work stacking the wild prairie grass hay.,,,"Stacks (Hay, grain, etc.)",http://id.worldcat.org/fast/1131264,Iowa,http://id.worldcat.org/fast/1205835,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_1,pascal1,pascal,image,91_Pascal_4-8.tif,91_pascal_4-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_4-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_4-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_4-8_th.jpg,,Teacher and students outside a one-room schoolhouse,https://n2t.net/ark:/87292/w9z85n,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Teacher and students posed outside a one-room schoolhouse. The children in the front row are dressed in white and are carrying flowers. The tallest woman on the left in the back row is Lucy Pascal, sister of Descartes Pascal. The school is located in Lincoln Township, Pocahontas County, Iowa.","Pascal, Lucy",,Rural schools,http://id.worldcat.org/fast/1101819,Iowa--Pocahontas County;Iowa,http://id.worldcat.org/fast/1220977;http://id.worldcat.org/fast/1205835,42.73637988,-94.62707431,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1900,1890/1900,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_2,pascal2,pascal,image,91_Pascal_6-10.tif,91_pascal_6-10.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_6-10.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_6-10_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_6-10_th.jpg,,Farm workers,https://n2t.net/ark:/87292/w9tg2b,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,Farm workers threshing oats and stacking straw. A steam engine is on the left and a separator is on the right. Ten with pitchforks are on top of the straw pile.,,,Oats;Threshing,http://id.worldcat.org/fast/1042664;http://id.worldcat.org/fast/1150347,Iowa,http://id.worldcat.org/fast/1205835,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_3,pascal3,pascal,image,91_Pascal_6-15.tif,91_pascal_6-15.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_6-15.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_6-15_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_6-15_th.jpg,,George Pascal II,https://n2t.net/ark:/87292/w9ps0f,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"George Pascal II, with a bobsled and team of horses in the winter of 1893-94 at the John Pascal farm near Pocahontas, Iowa.","Pascal, George",,Sleighs,http://id.worldcat.org/fast/1120885,Iowa--Pocahontas County;Iowa,http://id.worldcat.org/fast/1220977;http://id.worldcat.org/fast/1205835,42.73637988,-94.62707431,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1894,1893/1894,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_4,pascal4,pascal,image,91_Pascal_4-2.tif,91_pascal_4-2.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_4-2.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_4-2_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_4-2_th.jpg,,Unity School,https://n2t.net/ark:/87292/w9jz7k,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Unity School, west of DeWitt, Iowa. Teacher and students posed outside the one-room schoolhouse.",,,Rural schools;School children,http://id.worldcat.org/fast/1101819;http://id.worldcat.org/fast/1107147,Iowa--De Witt;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1246981;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,41.82296891,-90.54559164,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_5,pascal5,pascal,image,91_Pascal_8-8.tif,91_pascal_8-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_8-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_8-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_8-8_th.jpg,,Pascal family,https://n2t.net/ark:/87292/w9f850,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Pascal family photo. Back row, left to right: Arcana Celestia (Lettie), John, Laura, Descartes (Dan), George, Lucy. Front row, left to right: (Sarah) Celia, Aylett, Lee, George Wourms (father), Talitha Cumi [Cotton] (mother). Celia was Aylett's wife. Lee was their son. The dog's name was Pedro.",Pascal family,,,,Iowa,http://id.worldcat.org/fast/1205835,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_6,pascal6,pascal,image,91_Pascal_8-9.tif,91_pascal_8-9.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_8-9.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_8-9_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_8-9_th.jpg,,Graduation from Cornell College,https://n2t.net/ark:/87292/w99k1b,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Graduation from Cornell College, Mt. Vernon, Iowa, 1888. The three women dressed in white dresses are the sisters of Descartes Pascal. From left to right:Lucy, Arcana Celestia (Lettie), and Laura.","Pascal, Lucy;Pascal, Arcana Celestia;Pascal, Laura",,,,Iowa--Linn County;Iowa,http://id.worldcat.org/fast/1212643;http://id.worldcat.org/fast/1205835,41.96522569,-91.6763719,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_7,pascal7,pascal,image,91_Pascal_9-1.tif,91_pascal_9-1.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-1.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-1_th.jpg,,Ice skaters,https://n2t.net/ark:/87292/w95s0s,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Men and boys on ice skates, possibly on the Mississippi River.",,,Skaters,http://id.worldcat.org/fast/1119895,Iowa,http://id.worldcat.org/fast/1205835,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_8,pascal8,pascal,image,91_Pascal_9-2.tif,91_pascal_9-2.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-2.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-2_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-2_th.jpg,,Street scene in Grand Mound,https://n2t.net/ark:/87292/w9226w,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Street scene in Grand Mound, Iowa. Men and boys stand in front of one residential and several commercial buildings.",,,,,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,41.83973187,-90.20570388,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1900/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_9,pascal9,pascal,image,91_Pascal_9-3.tif,91_pascal_9-3.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-3.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-3_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-3_th.jpg,,Pascal house,https://n2t.net/ark:/87292/w9x85b,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Back view of the Pascal house, Grand Mound, Iowa in winter. Men are cutting wood. Between the two men on the left is a circular saw. On the right are two horses.",Pascal family,,Homes,http://id.worldcat.org/fast/1353235,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,41.83973187,-90.20570388,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_10,pascal10,pascal,image,91_Pascal_9-5.tif,91_pascal_9-5.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-5.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-5_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-5_th.jpg,,Boys on horse-drawn sleds,https://n2t.net/ark:/87292/w9sk1p,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,Boys on horse-drawn sleds in winter. Lee Pascal and Jasper Babcock are on the front sled. Percy Pascal and Jim Townsen are on the rear sled. The horse's name is Daisy. The photo is taken in front of the corn crib on the Pascal farm.,"Pascal, Lee;Babcock, Jasper;Pascal, Percy;Townsen, Jim",,Sleds;Corncribs,http://id.worldcat.org/fast/1120816;http://id.worldcat.org/fast/879408,Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,41.83973187,-90.20570388,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_11,pascal11,pascal,image,91_Pascal_2-8.tif,91_pascal_2-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_2-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_2-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_2-8_th.jpg,,Bussen farm,https://n2t.net/ark:/87292/w9nr96,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,The Bussen farm house and outbuildings in winter. The house and yard are enclosed by a picket fence. The lawn is covered with snow. There is cupola on one of the outbuildings.,Bussen family,,Homes,http://id.worldcat.org/fast/1353235,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,41.83973187,-90.20570388,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_12,pascal12,pascal,image,91_Pascal_9-6.tif,91_pascal_9-6.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-6.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-6_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-6_th.jpg,,Pascal house,https://n2t.net/ark:/87292/w9j27m,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Pascal house, east of Grand Mound, Iowa. George W. Pascal and Talitha Cumi Pascal are on the front porch. Daughters Laura and Arcana (Lettie) are in the front yard.","Pascal, George Wourns;Pascal, Talitha Cumi;Pascal, Arcana Celestia;Pascal, Laura;Pascal family",,Homes,http://id.worldcat.org/fast/1353235,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,41.83973187,-90.20570388,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_13,pascal13,pascal,image,91_Pascal_7-4.tif,91_pascal_7-4.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_7-4.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_7-4_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_7-4_th.jpg,,"West side of the Main Street in Pocahontas, Iowa",https://n2t.net/ark:/87292/w9d849,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"West side of the main street in Pocahontas, Iowa. There are many men, women, children, wagons, and horses in this street scene.",,,,,Iowa--Pocahontas County;Iowa,http://id.worldcat.org/fast/1220977;http://id.worldcat.org/fast/1205835,42.73637988,-94.62707431,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
